lock_day,locked_users,touch_mean,ttl_days_mean,daily_locked_users,seed_ratio
2024-01-01,227,2.0881057268722465,14.753303964757709,219,1.0365296803652968
2024-01-02,56,1.6607142857142858,6.392857142857143,55,1.018181818181818
2024-01-03,73,1.1643835616438356,11.36986301369863,69,1.0579710144927537
2024-01-04,68,1.1911764705882353,6.279411764705882,69,0.9855072463768116
2024-01-05,53,1.490566037735849,2.5283018867924527,57,0.9298245614035088
2024-01-06,129,1.372093023255814,9.131782945736434,130,0.9923076923076923
2024-01-07,130,1.3692307692307693,12.215384615384615,131,0.9923664122137404
2024-01-08,83,1.4216867469879517,12.987951807228916,88,0.9431818181818182
2024-01-09,76,1.3157894736842106,4.881578947368421,78,0.9743589743589743
2024-01-10,74,1.2567567567567568,8.445945945945946,74,1.0
2024-01-11,67,1.492537313432836,8.567164179104477,67,1.0
2024-01-12,66,1.4393939393939394,10.030303030303031,68,0.9705882352941176
2024-01-13,174,1.2183908045977012,12.120689655172415,176,0.9886363636363636
2024-01-14,153,1.4705882352941178,9.098039215686274,157,0.9745222929936306
2024-01-15,73,1.3424657534246576,24.328767123287673,73,1.0
2024-01-16,84,1.2857142857142858,7.785714285714286,85,0.9882352941176471
2024-01-17,68,1.1911764705882353,5.544117647058823,91,0.7472527472527473
2024-01-18,61,1.3442622950819672,10.819672131147541,63,0.9682539682539683
2024-01-19,58,1.4482758620689655,10.5,66,0.8787878787878788
2024-01-20,128,1.203125,7.6640625,131,0.9770992366412213
2024-01-21,152,1.3223684210526316,5.197368421052632,153,0.9934640522875817
2024-01-22,79,1.1265822784810127,7.936708860759493,83,0.9518072289156626
2024-01-23,57,1.2456140350877194,4.87719298245614,58,0.9827586206896551
2024-01-24,65,1.2615384615384615,13.323076923076924,68,0.9558823529411765
2024-01-25,56,1.9107142857142858,14.696428571428571,56,1.0
2024-01-26,63,1.3968253968253967,11.158730158730158,66,0.9545454545454546
2024-01-27,117,1.205128205128205,7.888888888888889,120,0.975
